"","mean","sd","5.5%","94.5%"
"a_rm_wt",6.31,0.1,6.15,6.48
"a_fs_wt",5.42,0.11,5.24,5.6
"a_as_wt",6.82,0.07,6.71,6.93
"scale_rm_wt",400.43,71.83,299.02,525.03
"scale_fs_wt",149.61,31.43,106.9,203.18
"scale_as_wt",316.73,53.93,241,411.85
"a_rm_th",3.8,0.05,3.72,3.88
"a_fs_th",3.53,0.05,3.45,3.6
"a_as_th",4.1,0.03,4.04,4.15
"scale_rm_th",7.55,1.44,5.55,10.06
"scale_fs_th",4,0.83,2.89,5.46
"scale_as_th",4.53,0.83,3.38,5.97
"a_rm_l",4.58,0.04,4.51,4.65
"a_fs_l",4.24,0.05,4.16,4.31
"a_as_l",4.8,0.03,4.76,4.84
"scale_rm_l",10.75,2,8.03,14.36
"scale_fs_l",7.31,1.56,5.23,9.99
"scale_as_l",5.58,1.05,4.14,7.39
"a_rm_wd",4.26,0.04,4.19,4.33
"a_fs_wd",3.97,0.05,3.9,4.05
"a_as_wd",4.46,0.03,4.41,4.5
"scale_fs_wd",6.18,1.3,4.39,8.47
"scale_as_wd",4.53,0.82,3.42,5.95
"scale_rm_wd",8.72,1.6,6.44,11.5
