"","mean","sd","5.5%","94.5%"
"a_rm_wt",5.97,0.08,5.85,6.1
"a_cc_wt",6.27,0.06,6.18,6.37
"a_tc_wt",6.6,0.04,6.54,6.67
"scale_rm_wt",503.07,55.88,420.66,598.95
"scale_cc_wt",321.49,36.95,267.22,381.93
"scale_tc_wt",338.93,29.97,294.24,389.46
"a_rm_th",3.72,0.03,3.68,3.77
"a_cc_th",3.85,0.02,3.81,3.89
"a_tc_th",3.98,0.02,3.96,4.01
"scale_rm_th",7.64,0.78,6.47,8.95
"scale_cc_th",4.57,0.5,3.85,5.41
"scale_tc_th",4.65,0.41,4.04,5.34
"a_rm_l",4.52,0.03,4.48,4.57
"a_cc_l",4.7,0.03,4.65,4.74
"a_tc_l",4.82,0.02,4.79,4.85
"scale_rm_l",15.83,1.66,13.36,18.64
"scale_cc_l",12.03,1.32,10.07,14.32
"scale_tc_l",10.78,0.97,9.31,12.42
"a_rm_wd",4.19,0.03,4.14,4.24
"a_cc_wd",4.36,0.02,4.32,4.4
"a_tc_wd",4.5,0.02,4.47,4.52
"scale_cc_wd",8.22,0.9,6.9,9.77
"scale_tc_wd",6.92,0.62,6.02,7.93
"scale_rm_wd",12.16,1.24,10.32,14.33
